City,window,AvgTempC
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 59), end=datetime.datetime(2022, 9, 11, 19, 16, 11))",15.0
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 58), end=datetime.datetime(2022, 9, 11, 19, 16, 10))",15.55
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 57), end=datetime.datetime(2022, 9, 11, 19, 16, 9))",15.37
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 56), end=datetime.datetime(2022, 9, 11, 19, 16, 8))",15.0
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 55), end=datetime.datetime(2022, 9, 11, 19, 16, 7))",15.22
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 54), end=datetime.datetime(2022, 9, 11, 19, 16, 6))",14.82
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 53), end=datetime.datetime(2022, 9, 11, 19, 16, 5))",14.84
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 52), end=datetime.datetime(2022, 9, 11, 19, 16, 4))",14.51
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 51), end=datetime.datetime(2022, 9, 11, 19, 16, 3))",14.13
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 50), end=datetime.datetime(2022, 9, 11, 19, 16, 2))",13.72
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 49), end=datetime.datetime(2022, 9, 11, 19, 16, 1))",13.38
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 48), end=datetime.datetime(2022, 9, 11, 19, 16))",13.19
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 47), end=datetime.datetime(2022, 9, 11, 19, 15, 59))",12.87
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 46), end=datetime.datetime(2022, 9, 11, 19, 15, 58))",12.45
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 45), end=datetime.datetime(2022, 9, 11, 19, 15, 57))",12.13
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 44), end=datetime.datetime(2022, 9, 11, 19, 15, 56))",11.89
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 43), end=datetime.datetime(2022, 9, 11, 19, 15, 55))",11.48
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 42), end=datetime.datetime(2022, 9, 11, 19, 15, 54))",11.33
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 41), end=datetime.datetime(2022, 9, 11, 19, 15, 53))",11.1
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 40), end=datetime.datetime(2022, 9, 11, 19, 15, 52))",11.1
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 39), end=datetime.datetime(2022, 9, 11, 19, 15, 51))",11.1
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 38), end=datetime.datetime(2022, 9, 11, 19, 15, 50))",11.19
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 37), end=datetime.datetime(2022, 9, 11, 19, 15, 49))",11.42
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 36), end=datetime.datetime(2022, 9, 11, 19, 15, 48))",11.75
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 35), end=datetime.datetime(2022, 9, 11, 19, 15, 47))",12.17
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 34), end=datetime.datetime(2022, 9, 11, 19, 15, 46))",12.49
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 33), end=datetime.datetime(2022, 9, 11, 19, 15, 45))",12.73
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 32), end=datetime.datetime(2022, 9, 11, 19, 15, 44))",13.14
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 31), end=datetime.datetime(2022, 9, 11, 19, 15, 43))",13.28
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 30), end=datetime.datetime(2022, 9, 11, 19, 15, 42))",13.61
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 29), end=datetime.datetime(2022, 9, 11, 19, 15, 41))",13.61
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 28), end=datetime.datetime(2022, 9, 11, 19, 15, 40))",13.52
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 27), end=datetime.datetime(2022, 9, 11, 19, 15, 39))",13.42
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 26), end=datetime.datetime(2022, 9, 11, 19, 15, 38))",13.33
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 25), end=datetime.datetime(2022, 9, 11, 19, 15, 37))",13.19
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 24), end=datetime.datetime(2022, 9, 11, 19, 15, 36))",12.87
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 23), end=datetime.datetime(2022, 9, 11, 19, 15, 35))",12.45
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 22), end=datetime.datetime(2022, 9, 11, 19, 15, 34))",12.13
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 21), end=datetime.datetime(2022, 9, 11, 19, 15, 33))",11.89
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 20), end=datetime.datetime(2022, 9, 11, 19, 15, 32))",11.48
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 19), end=datetime.datetime(2022, 9, 11, 19, 15, 31))",11.33
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 18), end=datetime.datetime(2022, 9, 11, 19, 15, 30))",11.1
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 17), end=datetime.datetime(2022, 9, 11, 19, 15, 29))",11.1
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 16), end=datetime.datetime(2022, 9, 11, 19, 15, 28))",11.1
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 15), end=datetime.datetime(2022, 9, 11, 19, 15, 27))",11.19
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 14), end=datetime.datetime(2022, 9, 11, 19, 15, 26))",11.42
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 13), end=datetime.datetime(2022, 9, 11, 19, 15, 25))",11.75
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 12), end=datetime.datetime(2022, 9, 11, 19, 15, 24))",12.17
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 11), end=datetime.datetime(2022, 9, 11, 19, 15, 23))",12.49
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 10), end=datetime.datetime(2022, 9, 11, 19, 15, 22))",12.62
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 9), end=datetime.datetime(2022, 9, 11, 19, 15, 21))",12.77
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 8), end=datetime.datetime(2022, 9, 11, 19, 15, 20))",12.96
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 7), end=datetime.datetime(2022, 9, 11, 19, 15, 19))",13.19
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 6), end=datetime.datetime(2022, 9, 11, 19, 15, 18))",13.33
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 5), end=datetime.datetime(2022, 9, 11, 19, 15, 17))",13.52
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 4), end=datetime.datetime(2022, 9, 11, 19, 15, 16))",14.0
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 3), end=datetime.datetime(2022, 9, 11, 19, 15, 15))",14.73
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 2), end=datetime.datetime(2022, 9, 11, 19, 15, 14))",15.37
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15, 1), end=datetime.datetime(2022, 9, 11, 19, 15, 13))",15.55
Perth,"Row(start=datetime.datetime(2022, 9, 11, 19, 15), end=datetime.datetime(2022, 9, 11, 19, 15, 12))",15.0
